detector,text_id,score,parameter name,parameter value,category
GPT2Detector,pp_1.1_res_1,0.984828770160675,pp,1.1,res
GPT2Detector,pp_1.1_res_2,0.9198512434959412,pp,1.1,res
GPT2Detector,pp_1.2_arg_0,0.9377955198287964,pp,1.2,arg
GPT2Detector,pp_1.1_res_3,0.1968736052513122,pp,1.1,res
GPT2Detector,pp_1.1_res_4,0.9968247413635254,pp,1.1,res
GPT2Detector,pp_1.2_arg_1,0.0001797080039978,pp,1.2,arg
GPT2Detector,pp_1.2_arg_2,0.9979689717292786,pp,1.2,arg
GPT2Detector,pp_1.2_arg_3,0.9997634291648864,pp,1.2,arg
GPT2Detector,pp_1.2_res_1,0.2605206966400146,pp,1.2,res
GPT2Detector,pp_1.2_res_3,0.0176421403884887,pp,1.2,res
GPT2Detector,pp_1.2_arg_4,0.9957654476165771,pp,1.2,arg
GPT2Detector,pp_1.2_res_0,0.9323232173919678,pp,1.2,res
GPT2Detector,pp_1.2_res_2,0.916793942451477,pp,1.2,res
GPT2Detector,pp_1.2_res_4,0.9998216032981871,pp,1.2,res
GPT2Detector,pp_1.3_arg_1,0.9962331652641296,pp,1.3,arg
GPT2Detector,pp_1.3_arg_0,0.9998243451118468,pp,1.3,arg
GPT2Detector,pp_1.3_arg_2,0.999827206134796,pp,1.3,arg
GPT2Detector,pp_1.3_arg_3,0.9444688558578492,pp,1.3,arg
GPT2Detector,pp_1.3_res_0,0.9998002648353576,pp,1.3,res
GPT2Detector,pp_1.3_arg_4,0.999818742275238,pp,1.3,arg
GPT2Detector,pp_1.3_res_1,0.9997757077217102,pp,1.3,res
GPT2Detector,pp_1.3_res_2,0.99915874004364,pp,1.3,res
GPT2Detector,pp_1.3_res_4,0.9996777772903442,pp,1.3,res
GPT2Detector,pp_1.4_arg_0,0.889292299747467,pp,1.4,arg
GPT2Detector,pp_1.3_res_3,0.890724778175354,pp,1.3,res
GPT2Detector,pp_1.4_arg_1,0.999812662601471,pp,1.4,arg
GPT2Detector,pp_1.4_arg_2,0.9985333681106568,pp,1.4,arg
GPT2Detector,pp_1.4_arg_3,0.9027901887893676,pp,1.4,arg
GPT2Detector,pp_1.4_arg_4,0.9997925162315368,pp,1.4,arg
GPT2Detector,pp_1.4_res_0,0.9988020658493042,pp,1.4,res
GPT2Detector,pp_1.4_res_4,0.0010519623756408,pp,1.4,res
GPT2Detector,pp_1.4_res_3,0.8035497069358826,pp,1.4,res
GPT2Detector,pp_1.4_res_1,0.8023250102996826,pp,1.4,res
GPT2Detector,pp_1.4_res_2,0.9997702240943908,pp,1.4,res
GPT2Detector,pp_1.5_arg_0,0.999821126461029,pp,1.5,arg
GPT2Detector,pp_1.5_arg_1,0.6235463619232178,pp,1.5,arg
GPT2Detector,pp_1.5_arg_3,0.9957003593444824,pp,1.5,arg
GPT2Detector,pp_1.5_arg_2,0.0707840919494628,pp,1.5,arg
GPT2Detector,pp_1.5_arg_4,0.0945450663566589,pp,1.5,arg
